episode,total_reward,renewable_ratio,total_cost,blackout_energy,epsilon,loss_mean,eval_reward
191,-68.8626,0.6631,14.0116,12.9118,0.3839,1.203727,
192,-27.0303,0.7192,9.1676,5.8706,0.382,1.300589,
193,-75.7979,0.7279,6.6156,18.9878,0.3801,1.303578,
194,-61.7719,0.6989,6.0029,14.2359,0.3782,1.188346,
195,-43.0769,0.7081,11.3018,9.5758,0.3763,1.193919,
196,-102.5288,0.7472,4.7005,23.4515,0.3744,1.14251,
197,-67.221,0.7419,5.7532,14.9238,0.3725,1.137771,
198,0.1104,0.7459,13.5904,0.0,0.3707,1.209493,
199,-13.5827,0.7304,10.6578,3.4211,0.3688,1.167858,
200,-8.7772,0.7298,11.0598,2.5066,0.367,1.077926,4.7394
201,-46.1582,0.7003,10.2654,10.642,0.3651,1.20175,
202,-103.7936,0.7078,8.1997,23.9664,0.3633,1.117376,
203,-24.4108,0.7389,11.4818,5.7679,0.3615,1.302055,
204,6.9398,0.7206,13.1099,0.0,0.3597,1.156884,
205,-57.967,0.7295,9.1671,12.3064,0.3579,1.077813,
206,-28.3126,0.7176,11.1884,5.6855,0.3561,1.087603,
207,-49.3322,0.6867,10.4236,10.703,0.3543,1.14823,
208,-106.3219,0.7579,3.3517,22.4128,0.3525,1.186173,
209,-82.0675,0.75,4.6893,20.7474,0.3508,1.084915,
210,-52.6473,0.7022,12.4126,10.9324,0.349,1.031906,
211,-40.3598,0.7099,8.0813,8.5886,0.3473,1.21542,
212,-0.8227,0.7283,14.0013,0.3941,0.3455,1.168445,
213,-59.7519,0.7363,7.6036,14.6675,0.3438,1.240694,
214,-60.4533,0.7238,10.0389,13.6058,0.3421,1.109557,
215,1.084,0.721,11.7323,1.6615,0.3404,1.170434,
216,-32.6365,0.706,11.9727,7.2974,0.3387,1.120861,
217,-70.2807,0.7,8.8347,14.3327,0.337,1.047303,
218,1.8311,0.7338,14.1809,1.0441,0.3353,1.216137,
219,-110.7844,0.7382,3.659,25.2039,0.3336,1.192343,
220,-60.0453,0.7183,10.2042,13.7339,0.332,1.196438,
221,-45.9455,0.6947,9.7546,10.6707,0.3303,1.03318,
222,-45.6289,0.694,11.7868,11.2399,0.3286,1.187797,
223,-52.4987,0.704,10.7813,11.6875,0.327,1.116458,
224,-49.9451,0.7508,9.864,11.3353,0.3254,1.125626,
225,-92.4262,0.7156,5.1294,21.9535,0.3237,1.189936,8.176
226,-105.7131,0.7211,6.7485,23.2409,0.3221,1.133639,
227,-55.2943,0.7377,7.524,12.9867,0.3205,1.09122,
228,-123.3909,0.675,5.1848,27.2811,0.3189,1.131403,
229,-53.1167,0.7046,9.6462,12.0931,0.3173,1.114433,
230,-63.7131,0.6994,9.6087,13.9727,0.3157,1.090793,
231,-49.6445,0.7071,9.9018,12.3665,0.3141,1.15558,
232,-8.111,0.7391,12.4941,3.8611,0.3126,1.090586,
233,-125.8977,0.7276,3.3257,27.7462,0.311,1.213661,
234,-13.7806,0.6983,14.0095,2.121,0.3095,1.168355,
235,-46.8113,0.6987,11.8999,10.2782,0.3079,1.088724,
236,-40.8268,0.7609,7.4309,10.8651,0.3064,1.084068,
237,-99.2059,0.7205,7.4957,23.2692,0.3048,1.176177,
238,-81.5622,0.6805,9.0026,18.7628,0.3033,1.065037,
239,-122.598,0.7233,4.2812,27.4863,0.3018,1.169291,
240,-81.204,0.75,5.0887,18.9573,0.3003,1.084019,
241,-60.8551,0.7055,9.3982,14.5546,0.2988,1.0925,
242,-72.7661,0.6597,10.0868,16.0076,0.2973,1.17976,
243,-3.7487,0.6769,16.0925,0.9286,0.2958,1.129905,
244,6.9889,0.729,12.6951,0.1799,0.2943,1.044039,
245,-27.6842,0.6911,12.7165,7.0629,0.2929,1.229915,
